hidden_size,game,opponent,seed,geometric_states,lstar_states,minimized_states,fidelity
4,hawk-dove,0.1,1415,4,4,3,1.0
4,hawk-dove,0.3,1415,4,4,4,0.0
4,hawk-dove,0.5,1415,4,4,3,1.0
4,hawk-dove,0.7,1415,4,4,4,1.0
4,hawk-dove,0.9,1415,4,4,4,1.0
4,hawk-dove,0.1,1617,4,4,4,0.8905050505050505
4,hawk-dove,0.3,1617,4,4,3,1.0
4,hawk-dove,0.5,1617,4,4,4,0.5041414141414141
4,hawk-dove,0.7,1617,4,4,3,1.0
4,hawk-dove,0.9,1617,4,4,3,1.0
4,hawk-dove,0.1,1819,4,4,4,1.0
4,hawk-dove,0.3,1819,4,4,3,1.0
4,hawk-dove,0.5,1819,4,4,3,1.0
4,hawk-dove,0.7,1819,4,4,4,0.702020202020202
4,hawk-dove,0.9,1819,4,4,3,1.0
4,hawk-dove,0.1,2021,4,4,4,1.0
4,hawk-dove,0.3,2021,4,4,3,1.0
4,hawk-dove,0.5,2021,4,4,4,1.0
4,hawk-dove,0.7,2021,4,4,4,1.0
4,hawk-dove,0.9,2021,4,4,3,1.0
4,prisoners-dilemma,0.1,789,4,4,4,1.0
4,prisoners-dilemma,0.3,789,4,4,3,1.0
4,prisoners-dilemma,0.5,789,4,4,3,1.0
4,prisoners-dilemma,0.7,789,4,4,3,1.0
4,prisoners-dilemma,0.9,789,4,4,4,1.0
4,prisoners-dilemma,0.1,1011,4,4,3,1.0
4,prisoners-dilemma,0.3,1011,4,4,3,1.0
4,prisoners-dilemma,0.5,1011,4,4,3,1.0
4,prisoners-dilemma,0.7,1011,4,4,3,1.0
4,prisoners-dilemma,0.9,1011,4,4,3,1.0
4,prisoners-dilemma,0.1,1213,4,4,4,1.0
4,prisoners-dilemma,0.3,1213,4,4,4,0.7032323232323232
4,prisoners-dilemma,0.5,1213,4,4,3,1.0
4,prisoners-dilemma,0.7,1213,4,4,4,1.0
4,prisoners-dilemma,0.9,1213,4,4,4,1.0
4,prisoners-dilemma,0.1,1415,4,4,4,1.0
4,prisoners-dilemma,0.3,1415,4,4,3,1.0
4,prisoners-dilemma,0.5,1415,4,4,4,0.5028282828282828
4,prisoners-dilemma,0.7,1415,4,4,4,1.0
4,prisoners-dilemma,0.9,1415,4,4,4,1.0
4,prisoners-dilemma,0.1,1617,4,4,4,1.0
4,prisoners-dilemma,0.3,1617,4,4,3,1.0
4,prisoners-dilemma,0.5,1617,4,4,3,1.0
4,prisoners-dilemma,0.7,1617,4,4,4,0.701010101010101
4,prisoners-dilemma,0.9,1617,4,4,4,1.0
4,prisoners-dilemma,0.1,1819,4,4,3,1.0
4,prisoners-dilemma,0.3,1819,4,4,3,1.0
4,prisoners-dilemma,0.5,1819,4,4,3,1.0
4,prisoners-dilemma,0.7,1819,4,4,4,0.302020202020202
4,prisoners-dilemma,0.9,1819,4,4,4,1.0
4,prisoners-dilemma,0.1,2021,4,4,4,1.0
4,prisoners-dilemma,0.3,2021,4,4,3,1.0
4,prisoners-dilemma,0.5,2021,4,4,4,1.0
4,prisoners-dilemma,0.7,2021,4,4,4,1.0
4,prisoners-dilemma,0.9,2021,4,4,3,1.0
2,prisoners-dilemma,0.1,42,2,2,2,1.0
2,prisoners-dilemma,0.3,42,2,2,2,1.0
2,prisoners-dilemma,0.5,42,2,2,2,1.0
2,prisoners-dilemma,0.7,42,2,2,2,1.0
2,prisoners-dilemma,0.9,42,2,2,2,1.0
2,prisoners-dilemma,0.1,123,2,2,2,1.0
2,prisoners-dilemma,0.3,123,2,2,2,0.6989
2,prisoners-dilemma,0.5,123,2,2,2,1.0
2,prisoners-dilemma,0.7,123,2,2,2,1.0
2,prisoners-dilemma,0.9,123,2,2,2,0.9038383838383839
2,stag-hunt,0.1,42,2,2,2,1.0
2,stag-hunt,0.3,42,2,2,2,1.0
2,stag-hunt,0.5,42,2,2,2,1.0
2,stag-hunt,0.7,42,2,2,2,1.0
2,stag-hunt,0.9,42,2,2,2,1.0
2,stag-hunt,0.1,123,2,2,2,1.0
2,stag-hunt,0.3,123,2,2,2,0.3067
2,stag-hunt,0.5,123,2,2,2,1.0
2,stag-hunt,0.7,123,2,2,2,0.7031313131313132
2,stag-hunt,0.9,123,2,2,2,0.10111111111111111
2,stag-hunt,0.1,456,2,2,2,1.0
2,stag-hunt,0.3,456,2,2,2,1.0
2,stag-hunt,0.5,456,2,2,2,1.0
2,stag-hunt,0.7,456,2,2,2,1.0
2,stag-hunt,0.9,456,2,2,2,1.0
2,stag-hunt,0.1,789,2,2,2,1.0
2,stag-hunt,0.3,789,2,2,2,1.0
2,stag-hunt,0.5,789,2,2,2,1.0
2,stag-hunt,0.7,789,2,2,2,1.0
2,stag-hunt,0.9,789,2,2,2,1.0
2,stag-hunt,0.1,1011,2,2,2,1.0
2,stag-hunt,0.3,1011,2,2,2,1.0
2,stag-hunt,0.5,1011,2,2,2,1.0
2,stag-hunt,0.7,1011,2,2,2,0.7068
2,stag-hunt,0.9,1011,2,2,2,1.0
2,stag-hunt,0.1,1213,2,2,2,1.0
2,stag-hunt,0.3,1213,2,2,2,0.3065
2,stag-hunt,0.5,1213,2,2,2,0.5007070707070707
2,stag-hunt,0.7,1213,2,2,2,1.0
2,stag-hunt,0.9,1213,2,2,2,1.0
2,stag-hunt,0.1,1415,2,2,2,1.0
2,stag-hunt,0.3,1415,2,2,2,1.0
2,stag-hunt,0.5,1415,2,2,2,1.0
2,stag-hunt,0.7,1415,2,2,2,1.0
2,stag-hunt,0.9,1415,2,2,2,1.0
2,stag-hunt,0.1,1617,2,2,2,1.0
2,stag-hunt,0.3,1617,2,2,2,1.0
2,stag-hunt,0.5,1617,2,2,2,1.0
2,stag-hunt,0.7,1617,2,2,2,1.0
2,stag-hunt,0.9,1617,2,2,2,1.0
2,stag-hunt,0.1,1819,2,2,2,1.0
2,stag-hunt,0.3,1819,2,2,2,1.0
2,stag-hunt,0.5,1819,2,2,2,1.0
2,stag-hunt,0.7,1819,2,2,2,1.0
2,stag-hunt,0.9,1819,2,2,2,1.0
2,stag-hunt,0.1,2021,2,2,2,1.0
2,stag-hunt,0.3,2021,2,2,2,1.0
2,stag-hunt,0.5,2021,2,2,2,1.0
2,stag-hunt,0.7,2021,2,2,2,1.0
