game,opponent,layer,grad_norm,input_sensitivity
prisoners-dilemma,0.9,agent_action_embed.0.bias,5.549956767936237e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_action_embed.2.weight,5.91629486734746e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_action_embed.2.bias,7.845757181712543e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_reward_embed.0.weight,0.0,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_reward_embed.0.bias,2.7986303393845446e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_reward_embed.2.weight,8.109470286399301e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_reward_embed.2.bias,6.016001066200261e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_reward_embed.0.weight,0.0,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_reward_embed.0.bias,8.966330824478064e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_reward_embed.2.weight,2.7188793865207117e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_reward_embed.2.bias,9.33688113491371e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.weight_ih_l0,1.5794117643963546e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.weight_hh_l0,1.203539522975916e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.bias_ih_l0,1.354293203803536e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.bias_hh_l0,1.354293203803536e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.weight_ih_l1,0.0001416218583472073,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.weight_hh_l1,0.0001222434948431328,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.bias_ih_l1,1.4943763744668104e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,lstm.bias_hh_l1,1.4943763744668104e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,policy_head.0.weight,0.0005327200633473694,1.1266874366810953e-07
prisoners-dilemma,0.9,policy_head.0.bias,6.534639396704733e-05,1.1266874366810953e-07
prisoners-dilemma,0.9,policy_head.3.weight,0.0016812770627439022,1.1266874366810953e-07
prisoners-dilemma,0.9,policy_head.3.bias,0.00010394638957222924,1.1266874366810953e-07
hawk-dove,0.1,payoff_matrix_embed.0.weight,1.750045086623686e-08,1.1691935197788439e-09
hawk-dove,0.1,payoff_matrix_embed.0.bias,2.500064377741751e-09,1.1691935197788439e-09
hawk-dove,0.1,payoff_matrix_embed.2.weight,3.185485430989843e-09,1.1691935197788439e-09
hawk-dove,0.1,payoff_matrix_embed.2.bias,3.1470652750442696e-09,1.1691935197788439e-09
hawk-dove,0.1,round_number_embed.0.weight,1.1202962113543435e-08,1.1691935197788439e-09
hawk-dove,0.1,round_number_embed.0.bias,2.2950894518203313e-08,1.1691935197788439e-09
hawk-dove,0.1,round_number_embed.2.weight,3.6507938894203562e-09,1.1691935197788439e-09
hawk-dove,0.1,round_number_embed.2.bias,3.9523553319043e-09,1.1691935197788439e-09
hawk-dove,0.1,opponent_action_embed.0.weight,1.4799010975008464e-11,1.1691935197788439e-09
hawk-dove,0.1,opponent_action_embed.0.bias,2.1389561766227416e-07,1.1691935197788439e-09
hawk-dove,0.1,opponent_action_embed.2.weight,4.932461106221808e-09,1.1691935197788439e-09
hawk-dove,0.1,opponent_action_embed.2.bias,8.325155675947826e-09,1.1691935197788439e-09
hawk-dove,0.1,agent_action_embed.0.weight,1.022863773390316e-14,1.1691935197788439e-09
hawk-dove,0.1,agent_action_embed.0.bias,4.333389824751066e-07,1.1691935197788439e-09
hawk-dove,0.1,agent_action_embed.2.weight,4.84226747587968e-09,1.1691935197788439e-09
hawk-dove,0.1,agent_action_embed.2.bias,6.35318775366045e-09,1.1691935197788439e-09
hawk-dove,0.1,agent_reward_embed.0.weight,0.0,1.1691935197788439e-09
hawk-dove,0.1,agent_reward_embed.0.bias,1.7141896080374863e-07,1.1691935197788439e-09
hawk-dove,0.1,agent_reward_embed.2.weight,9.063639616613273e-09,1.1691935197788439e-09
hawk-dove,0.1,agent_reward_embed.2.bias,5.6914619683823275e-09,1.1691935197788439e-09
hawk-dove,0.1,opponent_reward_embed.0.weight,0.0,1.1691935197788439e-09
hawk-dove,0.1,opponent_reward_embed.0.bias,5.666382918434465e-08,1.1691935197788439e-09
hawk-dove,0.1,opponent_reward_embed.2.weight,6.979717692701115e-09,1.1691935197788439e-09
hawk-dove,0.1,opponent_reward_embed.2.bias,7.240724020363132e-09,1.1691935197788439e-09
hawk-dove,0.1,lstm.weight_ih_l0,1.3249466235265572e-07,1.1691935197788439e-09
hawk-dove,0.1,lstm.weight_hh_l0,1.0433752350991199e-07,1.1691935197788439e-09
hawk-dove,0.1,lstm.bias_ih_l0,1.1594699422801114e-08,1.1691935197788439e-09
hawk-dove,0.1,lstm.bias_hh_l0,1.1594699422801114e-08,1.1691935197788439e-09
hawk-dove,0.1,lstm.weight_ih_l1,3.927904685951944e-07,1.1691935197788439e-09
hawk-dove,0.1,lstm.weight_hh_l1,4.2133896727136744e-07,1.1691935197788439e-09
hawk-dove,0.1,lstm.bias_ih_l1,4.106989948127193e-08,1.1691935197788439e-09
hawk-dove,0.1,lstm.bias_hh_l1,4.106989948127193e-08,1.1691935197788439e-09
hawk-dove,0.1,policy_head.0.weight,3.6428582461667247e-06,1.1691935197788439e-09
hawk-dove,0.1,policy_head.0.bias,3.5676288234753883e-07,1.1691935197788439e-09
hawk-dove,0.1,policy_head.3.weight,1.1514537618495524e-05,1.1691935197788439e-09
hawk-dove,0.1,policy_head.3.bias,5.136168965691468e-07,1.1691935197788439e-09
hawk-dove,0.3,payoff_matrix_embed.0.weight,3.1785634746483993e-06,9.965028624492334e-08
hawk-dove,0.3,payoff_matrix_embed.0.bias,4.5408049231809855e-07,9.965028624492334e-08
hawk-dove,0.3,payoff_matrix_embed.2.weight,5.29928797732282e-07,9.965028624492334e-08
hawk-dove,0.3,payoff_matrix_embed.2.bias,5.220050525167608e-07,9.965028624492334e-08
hawk-dove,0.3,round_number_embed.0.weight,9.706390073915827e-07,9.965028624492334e-08
hawk-dove,0.3,round_number_embed.0.bias,3.649063046395895e-06,9.965028624492334e-08
hawk-dove,0.3,round_number_embed.2.weight,5.405252636592195e-07,9.965028624492334e-08
hawk-dove,0.3,round_number_embed.2.bias,5.982124093861785e-07,9.965028624492334e-08
hawk-dove,0.3,opponent_action_embed.0.weight,2.1371288028149138e-07,9.965028624492334e-08
hawk-dove,0.3,opponent_action_embed.0.bias,1.1941403499804437e-05,9.965028624492334e-08
hawk-dove,0.3,opponent_action_embed.2.weight,2.2856544035221305e-07,9.965028624492334e-08
hawk-dove,0.3,opponent_action_embed.2.bias,5.741468953601725e-07,9.965028624492334e-08
hawk-dove,0.3,agent_action_embed.0.weight,4.0629380748669064e-08,9.965028624492334e-08
hawk-dove,0.3,agent_action_embed.0.bias,3.385500531294383e-05,9.965028624492334e-08
hawk-dove,0.3,agent_action_embed.2.weight,4.1053536392610113e-07,9.965028624492334e-08
hawk-dove,0.3,agent_action_embed.2.bias,6.042766358405061e-07,9.965028624492334e-08
hawk-dove,0.3,agent_reward_embed.0.weight,0.0,9.965028624492334e-08
hawk-dove,0.3,agent_reward_embed.0.bias,1.4472553630184848e-05,9.965028624492334e-08
hawk-dove,0.3,agent_reward_embed.2.weight,5.056847385276342e-07,9.965028624492334e-08
hawk-dove,0.3,agent_reward_embed.2.bias,5.597209451480012e-07,9.965028624492334e-08
hawk-dove,0.3,opponent_reward_embed.0.weight,0.0,9.965028624492334e-08
hawk-dove,0.3,opponent_reward_embed.0.bias,2.1013842342654243e-05,9.965028624492334e-08
hawk-dove,0.3,opponent_reward_embed.2.weight,7.848640279917163e-07,9.965028624492334e-08
hawk-dove,0.3,opponent_reward_embed.2.bias,8.356191187885997e-07,9.965028624492334e-08
hawk-dove,0.3,lstm.weight_ih_l0,2.622305510158185e-05,9.965028624492334e-08
hawk-dove,0.3,lstm.weight_hh_l0,2.3631935619050637e-05,9.965028624492334e-08
hawk-dove,0.3,lstm.bias_ih_l0,2.412125695627765e-06,9.965028624492334e-08
hawk-dove,0.3,lstm.bias_hh_l0,2.412125695627765e-06,9.965028624492334e-08
hawk-dove,0.3,lstm.weight_ih_l1,8.068403985816985e-05,9.965028624492334e-08
hawk-dove,0.3,lstm.weight_hh_l1,6.672725430689752e-05,9.965028624492334e-08
hawk-dove,0.3,lstm.bias_ih_l1,7.94876177678816e-06,9.965028624492334e-08
hawk-dove,0.3,lstm.bias_hh_l1,7.94876177678816e-06,9.965028624492334e-08
hawk-dove,0.3,policy_head.0.weight,0.00020908197620883584,9.965028624492334e-08
hawk-dove,0.3,policy_head.0.bias,2.5166067644022405e-05,9.965028624492334e-08
hawk-dove,0.3,policy_head.3.weight,0.0006486594793386757,9.965028624492334e-08
hawk-dove,0.3,policy_head.3.bias,3.7589663406834006e-05,9.965028624492334e-08
hawk-dove,0.5,payoff_matrix_embed.0.weight,4.729491411126219e-05,1.837029003581847e-06
